"etahat_0","etahat_1","cov_00","cov_01","cov_11","rdhat","rrhat","var_rd","var_rr","Estimator","Version","eta_0","eta_1","rd","rr","seed","m","n_trial","n_aux","p_resp","p_cens","K"
0.735023058571674,0.259727263443898,0.00175668814395131,2.53118502243796e-05,0.00159548754761017,-0.475295795127776,0.353359340792125,0.00330155199111272,0.00332607985440176,"AIPW","Nonparametric SS 1",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,5000,0.5,0.3,10
0.789144279543828,0.265028038899428,0.00137682370717855,2.42368336242298e-05,0.00135218792389227,-0.524116240644401,0.335842311437181,0.00268053796382237,0.00239454607605835,"AIPW","Nonparametric SS 2",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,5000,0.5,0.3,10
0.850132446157115,0.154643828913798,0.000195182319551183,3.31576947062412e-05,2.07431825825378e-05,-0.695488617243317,0.181905572023324,0.000149610112721238,2.09464902687606e-05,"AIPW","Parametric",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,5000,0.5,0.3,10
0.78027161349456,0.241692337013867,0.000179687385654749,3.96404562383836e-05,4.52249691111734e-05,-0.538579276480693,0.30975410720302,0.000145631442289155,6.22642479956722e-05,"AIPW","Nonparametric SS 1",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,5000,0.5,0.3,10
0.774002121747135,0.245240954083765,0.000234792554911595,3.96266965047308e-05,9.910312940727e-05,-0.52876116766337,0.316847909318632,0.000254642291309404,0.000162855392515016,"AIPW","Nonparametric SS 2",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,5000,0.5,0.3,10
0.86223161637207,0.136338486458851,0.000154102640957459,1.17487766207979e-06,0.000131737040950773,-0.725893129913219,0.158122810472329,0.000283489926584072,0.000181881363592816,"AIPW","Parametric",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,50000,0.5,0.3,10
0.77713728855934,0.260111876947456,0.00096250590337175,7.9877762874631e-07,0.00155653466605365,-0.517025411611884,0.334705181152293,0.00251744301416791,0.00275494358055896,"AIPW","Nonparametric SS 1",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,50000,0.5,0.3,10
0.796266358140215,0.258070622804117,0.000948210366434511,7.45774638095824e-07,0.00164538028004648,-0.538195735336098,0.324100874243733,0.0025920990972048,0.00275140035124018,"AIPW","Nonparametric SS 2",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,50000,0.5,0.3,10
0.850148630896924,0.154498790157534,2.74596369776029e-05,2.23748783783263e-06,1.49868531155678e-05,-0.695649840739391,0.18173150498935,3.79715144175054e-05,2.08653671831161e-05,"AIPW","Parametric",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,50000,0.5,0.3,10
0.770562731463331,0.251308362429165,7.16409910869187e-05,2.27982916348735e-06,6.52671075409324e-05,-0.519254369034166,0.326136149813423,0.000132348440300876,0.000120249401227984,"AIPW","Nonparametric SS 1",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,50000,0.5,0.3,10
0.76518421556014,0.24376034597734,7.35663281327573e-05,2.32463758647958e-06,6.57976692030256e-05,-0.521423869582799,0.31856426337663,0.000134714722162824,0.000122598596060389,"AIPW","Nonparametric SS 2",0.772349703572557,0.227645703572557,-0.544704,0.294744339927323,7000002,20,50000,50000,0.5,0.3,10
0.839339288230656,0.146619645274289,0.000283978880466269,2.02364711385546e-05,0.000143510129115801,-0.692719642956366,0.174684596956454,0.000387016067304961,0.000205972506995988,"AIPW","Parametric",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,5000,0.5,0.3,5
0.802470030296092,0.180710543113122,0.00156752961155053,2.24644533144163e-05,0.000869829397871672,-0.621759487182971,0.225192887323709,0.00239243010279337,0.00145848613567582,"AIPW","Nonparametric SS 1",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,5000,0.5,0.3,5
0.847994901309181,0.199557616131812,0.00147583488479034,1.90367333038788e-05,0.000986482174330771,-0.648437285177369,0.235328792453497,0.00242424359251336,0.00147303635457153,"AIPW","Nonparametric SS 2",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,5000,0.5,0.3,5
0.847327294225001,0.143207722353705,0.000194906712033975,3.02879899279337e-05,1.8964660444516e-05,-0.704119571871296,0.169011105070902,0.000153295392622624,1.99092411982025e-05,"AIPW","Parametric",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,5000,0.5,0.3,5
0.771223561166254,0.215300769558008,0.000179739733673648,3.51409527824687e-05,3.87766605134441e-05,-0.555922791608247,0.279167780134242,0.000148234488622155,5.57581756909301e-05,"AIPW","Nonparametric SS 1",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,5000,0.5,0.3,5
0.769439048644923,0.204496132350622,0.000236819825016153,3.50187802899375e-05,7.53864968732613e-05,-0.564942916294301,0.265773010494808,0.000242168761309539,0.000124148169181312,"AIPW","Nonparametric SS 2",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,5000,0.5,0.3,5
0.839774556313155,0.147212451641784,0.000172501885647733,1.02907241464645e-06,0.000141089493464693,-0.692562104671371,0.175299966562559,0.000311533234283133,0.000207069321458681,"AIPW","Parametric",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,50000,0.5,0.3,5
0.756013249326074,0.233617585892471,0.000914756716006624,6.36949885203575e-07,0.000763819102570055,-0.522395663433603,0.309012555138052,0.00167730191880627,0.00148852323482593,"AIPW","Nonparametric SS 1",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,50000,0.5,0.3,5
0.797906264332809,0.187838880078153,0.000872115542771636,1.14473041371606e-06,0.000768330127965557,-0.610067384254656,0.235414720343397,0.00163815620990976,0.00128189464959326,"AIPW","Nonparametric SS 2",0.772743204208052,0.227143204208052,-0.5456,0.293943968670472,7000003,20,5000,50000,0.5,0.3,5
0.847176402300318,0.143147174355274,2.77390915234254e-05,2.03586278044163e-06,1.41321627645508e-05,-0.704029227945044,0.168969737550042,3.7799528727093e-05,1.98355594372902e-05,"AIPW","Parametric",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,50000,0.5,0.3,5
0.767937771769526,0.211346112476685,6.72360653111359e-05,2.17539234701135e-06,5.9432002085267e-05,-0.556591659292841,0.275212550086824,0.00012231728270238,0.000107383669822267,"AIPW","Nonparametric SS 1",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,50000,0.5,0.3,5
0.772784806332944,0.212699808647437,6.62810116925362e-05,2.14238702365794e-06,5.70759911617441e-05,-0.560084997685507,0.275238082975195,0.000119072228806964,0.000102006386909054,"AIPW","Nonparametric SS 2",0.773247390778175,0.226895390778175,-0.546352,0.2934318220587,7000003,20,50000,50000,0.5,0.3,5
